project,unit,type,owner,parent,countries,status,start_year,capacity,production,capacity_production_unit,geom,lat,lng,route,url,status_legend
Sichuan–Shanghai Parallel Gas Pipeline,Badong Branch,gas_pipeline,,"West To East Gas Transmission Branch of National Petroleum Pipeline Network Group Co., Ltd. [100.00%]",China,construction,,0.02,,bcm/y,line,nan,nan,"30.671685,110.14487:30.681087,110.169722:30.714876,110.205792:30.746933,110.229507:30.819227,110.262452:30.777111,110.268007:30.561725,110.394292:30.937718,110.343513:29.903613,108.852152:30.923143,110.326386:30.038289,107.102918:31.049604,110.344277:31.010887,110.357284:31.035056,110.3795:31.007216,110.41082",https://www.gem.wiki/Sichuan%E2%80%93Shanghai_Parallel_Gas_Pipeline,construction_plus
Sichuan–Shanghai Parallel Gas Pipeline,Yinhui-Shitai Branch,gas_pipeline,,"West To East Gas Transmission Branch of National Petroleum Pipeline Network Group Co., Ltd. [100.00%]",China,construction,,0.6,,bcm/y,line,nan,nan,"30.693858,117.572767:30.21703,117.490671",https://www.gem.wiki/Sichuan%E2%80%93Shanghai_Parallel_Gas_Pipeline,construction_plus
Sichuan–Shanghai Parallel Gas Pipeline,Huangcaoxia Gas Storage Branch,gas_pipeline,,国家石油天然气管网集团有限公司 [100.00%],China,proposed,,,,,line,nan,nan,"29.769804,107.112279:30.140175,107.216652",https://www.gem.wiki/Sichuan%E2%80%93Shanghai_Parallel_Gas_Pipeline,proposed_plus
Sichuan–Shanghai Parallel Gas Pipeline,Weiyuan–Qiangjiang Segment,gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [50.00%]; China Life Insurance Company Limited [43.90%]; State Development and Investment Corporation [6.10%]",China,proposed,,20,,bcm/y,line,nan,nan,"31.531068,107.726454:31.236845,107.740776:30.672091,107.729308:30.277461,108.906124:30.381715,109.508167:30.494023,111.448581:30.268317,112.926686:30.257835,114.255459:30.095755,115.866327:30.671793,116.885809:30.911181,118.662906:30.973881,119.135262:30.813187,120.330015:31.004288,121.039919:31.531068,107.726454:31.236845,107.740776:30.672091,107.729308:30.277461,108.906124:30.381715,109.508167:30.494023,111.448581:30.268317,112.926686",https://www.gem.wiki/Sichuan%E2%80%93Shanghai_Parallel_Gas_Pipeline,proposed_plus
Sichuan–Shanghai Parallel Gas Pipeline,Qiangjiang–Xuancheng-Wenzhou Trunk Line,gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [50.00%]; China Life Insurance Company Limited [43.90%]; State Development and Investment Corporation [6.10%]",China,construction,2023,20.2,,bcm/y,line,nan,nan,"30.338497,113.427828:30.447128,114.906:30.06427,115.94651:30.710557,116.839864:30.92808,118.755919:30.663288,119.65536:28.103556,120.514058",https://www.gem.wiki/Sichuan%E2%80%93Shanghai_Parallel_Gas_Pipeline,construction_plus
Sichuan–Shanghai Parallel Gas Pipeline,Zaoyang–Xuancheng Connecting Pipeline,gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [50.00%]; China Life Insurance Company Limited [43.90%]; State Development and Investment Corporation [6.10%]",China,construction,2023,15,,bcm/y,line,nan,nan,"32.331229,112.973379:32.373224,113.475128:32.288539,113.65381:32.181767,114.060366:32.364527,116.28118:32.624563,117.040995:32.036707,117.283905:30.92808,118.755919",https://www.gem.wiki/Sichuan%E2%80%93Shanghai_Parallel_Gas_Pipeline,construction_plus
Sichuan–Shanghai Parallel Gas Pipeline,Western Anhui Branch Line( Lu’an-Yingshang Pipeline),gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [50.00%]; China Life Insurance Company Limited [43.90%]; State Development and Investment Corporation [6.10%]",China,construction,,1.44,,bcm/y,line,nan,nan,"32.624563,117.040995:32.714965,116.720815:32.742163,116.414406:33.153247,116.221499:33.502338,116.161042:33.875307,115.785304",https://www.gem.wiki/Sichuan%E2%80%93Shanghai_Parallel_Gas_Pipeline,construction_plus
Sichuan–Shanghai Parallel Gas Pipeline,Anhui-Jiangxi Branch Line (Anqing–poyang Pipeline),gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [50.00%]; China Life Insurance Company Limited [43.90%]; State Development and Investment Corporation [6.10%]",China,proposed,,,,,line,nan,nan,"30.710557,116.839864:30.09962,117.0256:29.022269,116.696314",https://www.gem.wiki/Sichuan%E2%80%93Shanghai_Parallel_Gas_Pipeline,proposed_plus
Sichuan–Shanghai Parallel Gas Pipeline,Wenzhou–Fuding Pipeline,gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [50.00%]; China Life Insurance Company Limited [43.90%]; State Development and Investment Corporation [6.10%]",China,construction,2023,,,,line,nan,nan,"28.103556,120.514058:28.1620381,120.5369416:28.1399256,120.5273068:28.1121437,120.5279585:28.090713,120.5077885:28.0796825,120.49077:28.0673914,120.4850972:28.0408981,120.5167209:28.0224942,120.5148311:28.0145537,120.5108609:27.979704,120.5090963:27.9501479,120.4843927:27.9170628,120.4768934:27.8958883,120.442926:27.870122,120.4534294:27.8541615,120.4490047:27.8228726,120.4475825:27.785436,120.4303483:27.7702211,120.4261987:27.7199658,120.380554:27.7208879,120.3658002:27.7112057,120.363956:27.7001403,120.3630338:27.6872307,120.3538127:27.6747821,120.356118:27.6604893,120.3685665:27.6383585,120.372716:27.6231436,120.3685665:27.6098938,120.3348784:27.5945252,120.3238322:27.5839593,120.3238322:27.5671499,120.3276744:27.5556235,120.3252731:27.5340114,120.3675367:27.5186428,120.3641748:27.5143204,120.3579313:27.5109585,120.3444838:27.5095177,120.3406416:27.4893465,120.3444838:27.4797411,120.3488062:27.4696555,120.3406416:27.4547671,120.3396811:27.4427604,120.316148:27.4408393,120.2964569:27.4350761,120.2719633:27.4355564,120.2412261:27.4125675,120.2256788:27.404278,120.2300209:27.3944094,120.217784:27.3861199,120.2051522:27.3742776,120.1976522:27.3592775,120.1996259:27.3549353,120.2063365",https://www.gem.wiki/Sichuan%E2%80%93Shanghai_Parallel_Gas_Pipeline,construction_plus
Sichuan–Shanghai Parallel Gas Pipeline,Anhui North Supply Pipeline (Suzhou–Bengbu),gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [50.00%]; China Life Insurance Company Limited [43.90%]; State Development and Investment Corporation [6.10%]",China,proposed,,5,,bcm/y,line,nan,nan,"33.661159,116.959434:33.603298,116.968482:33.567322,116.975889:33.542721,116.98118:33.474472,116.983296:33.44752,116.992831:33.405806,117.005756:33.376566,117.033348:33.338452,117.106411:33.319542,117.180734:33.307484,117.207241:33.259396,117.215282:33.227003,117.216152:33.209825,117.208888:33.191806,117.20559:33.122533,117.198405:33.104109,117.194352:33.093524,117.178051:33.054497,117.165752:33.013426,117.161614:32.998052,117.156921:32.97869,117.157599:32.966096,117.152561:32.947138,117.152532:32.936857,117.150242",https://www.gem.wiki/Sichuan%E2%80%93Shanghai_Parallel_Gas_Pipeline,proposed_plus
Sichuan–Shanghai Parallel Gas Pipeline,Wuhu Branch (Xuancheng–Ma'anshan),gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [50.00%]; China Life Insurance Company Limited [43.90%]; State Development and Investment Corporation [6.10%]",China,proposed,,,,,line,nan,nan,"30.92808,118.755919:31.646598,118.511413",https://www.gem.wiki/Sichuan%E2%80%93Shanghai_Parallel_Gas_Pipeline,proposed_plus
Sidhnai-Faisalabad Gas Pipeline,,gas_pipeline,,Sui Northern Gas Pipelines Limited (SNGPL) [100.00%],Pakistan,operating,,,,,line,nan,nan,"30.549489769150863,72.13253278428664:31.448816915296263,73.13228861168342",https://www.gem.wiki/Sidhnai-Faisalabad_Gas_Pipeline,operating
Sidhnai-Faisalabad Gas Pipeline II,,gas_pipeline,,Sui Northern Gas Pipelines Limited (SNGPL) [100.00%],Pakistan,operating,,,,,line,nan,nan,"30.56368071265735,72.18746442315458:31.41366341655311,73.13503519362682",https://www.gem.wiki/Sidhnai-Faisalabad_Gas_Pipeline_II,operating
Sin Sasebo,,gas_pipeline,,Saibu Gas [100.00%],Japan,operating,2011,,,,line,nan,nan,"33.107866,129.755388:33.106572,129.780751",https://www.gem.wiki/Shin_Sasebo_line,operating
Sindh University to FJFC Offtake Loopline,,gas_pipeline,,Sui Southern Gas Company (SSGC) [100.00%],Pakistan,operating,,60,,MMcf/d,line,nan,nan,"25.420107272359154,68.26446826213491:24.744624713304173,67.57851003699278",https://www.gem.wiki/Sindh_University_to_FJFC_Offtake_Loopline,operating
Sino-Myanmar Gas Pipeline,Trunk line (Burma segment),gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [100.00%]",Myanmar,operating,2013,13,,bcm/y,line,nan,nan,"19.9400628,92.7566054:19.435582,93.54954:19.4849918,94.0007214:19.7824828,94.0240244:19.9607118,94.5444584:20.2186568,94.8671384:20.2366958,95.0881954:20.8413628,95.1082134:21.6107277,96.1177104:22.6195236,97.2820364:22.9652956,97.7351764:23.831042,97.663659:23.859479,97.661966:25.095283,99.166813:25.594274,100.25414:25.031191,101.538772:24.915962,102.379107:26.239047,105.954651:26.311371,106.545778:26.249259,107.508143:24.685683,108.07571:23.748081,109.245257:23.121435,109.505153;25.031191,101.538772:26.566427,101.679539",https://www.gem.wiki/Sino-Myanmar_Gas_Pipeline,operating
Sino-Myanmar Gas Pipeline,Trunk line (China segment),gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [100.00%]",China,operating,2013,13,,bcm/y,line,nan,nan,"19.9400628,92.7566054:19.435582,93.54954:19.4849918,94.0007214:19.7824828,94.0240244:19.9607118,94.5444584:20.2186568,94.8671384:20.2366958,95.0881954:20.8413628,95.1082134:21.6107277,96.1177104:22.6195236,97.2820364:22.9652956,97.7351764:23.831042,97.663659:23.859479,97.661966:25.095283,99.166813:25.594274,100.25414:25.031191,101.538772:24.915962,102.379107:26.239047,105.954651:26.311371,106.545778:26.249259,107.508143:24.685683,108.07571:23.748081,109.245257:23.121435,109.505153;25.031191,101.538772:26.566427,101.679539",https://www.gem.wiki/Sino-Myanmar_Gas_Pipeline,operating
Sino-Myanmar Gas Pipeline,Xincheng-Guilin Branch Pipeline,gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [100.00%]","Myanmar, China",operating,2014,0.73,,bcm/y,line,nan,nan,"24.066515465220537,108.64801779764755:25.224121724481726,110.16068994655508",https://www.gem.wiki/Sino-Myanmar_Gas_Pipeline,operating
Sino-Myanmar Gas Pipeline,Midu–Dali–Lijiang Branch Pipeline,gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [100.00%]",China,operating,2017,0.16,,bcm/y,line,nan,nan,"25.342778,100.493056:25.6065,100.2676:26.8552,100.2259",https://www.gem.wiki/Sino-Myanmar_Gas_Pipeline,operating
Sino-Myanmar Gas Pipeline,Chuxiong-Panzhihua Gas Pipeline,gas_pipeline,,中国石油天然气股份有限公司 [100.00%],China,operating,2019,2,,bcm/y,line,nan,nan,"25.031191,101.538772:26.566427,101.679539",https://www.gem.wiki/Sino-Myanmar_Gas_Pipeline#Chuxiong.E2.80.93Panzhihua_Gas_Pipeline_.E6.A5.9A.E9.9B.84-.E6.94.80.E6.9E.9D.E8.8A.B1.E6.94.AF.E7.BA.BF,operating
Sino-Myanmar Gas Pipeline,Panzhihua-Liangshan Gas Pipeline,gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [100.00%]",China,proposed,,1,,bcm/y,line,nan,nan,"26.69491302557884,101.9640731412208:26.88982126406892,102.11015360742664:27.412469232024204,102.19222276837459:27.88867767035012,102.19902962816303",https://www.gem.wiki/Sino-Myanmar_Gas_Pipeline,proposed_plus
Sino-Myanmar Gas Pipeline,Lufeng–Yuxi Branch Pipeline,gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [100.00%]",China,operating,2013,1.52,,bcm/y,line,nan,nan,"25.1475,101.976389:24.347,102.527",https://www.gem.wiki/Sino-Myanmar_Gas_Pipeline,operating
Sino-Myanmar Gas Pipeline,Nanning-Qinzhou Branch Pipeline,gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [100.00%]","Myanmar, China",operating,2014,1.44,,bcm/y,line,nan,nan,"22.820186692631165,108.36726144232057:21.984768153446822,108.65565254239038",https://www.gem.wiki/Sino-Myanmar_Gas_Pipeline,operating
Sino-Myanmar Gas Pipeline,Kunming East Branch,gas_pipeline,,"Kunlun Energy Co., Ltd. [51.00%]; Kunming Gas (Group) Holding Co., Ltd. [20.00%]; Yunnan Investment Holding Group Co., Ltd. [20.00%]; Yunnan Chang'an Investment Co., Ltd. [8.10%]; Other [0.90%]",China,operating,2015,0.9,,bcm/y,line,nan,nan,"25.443403,103.113876:24.929774,102.866757",https://www.gem.wiki/Yunnan_Gas_Pipeline_Network,operating
Sino-Myanmar Gas Pipeline,Kunming West Branch,gas_pipeline,,"Kunlun Energy Co., Ltd. [51.00%]; Kunming Gas (Group) Holding Co., Ltd. [20.00%]; Yunnan Investment Holding Group Co., Ltd. [20.00%]; Yunnan Chang'an Investment Co., Ltd. [8.10%]; Other [0.90%]",China,operating,2013,0.69,,bcm/y,line,nan,nan,"24.906802,102.368138:24.99177,102.609723",https://www.gem.wiki/Yunnan_Gas_Pipeline_Network,operating
Siri–Asaluyeh Gas Pipeline,,gas_pipeline,,Iran Ministry of Petroleum [100.00%],Iran,operating,2013,500,,MMcf/d,line,nan,nan,"25.9143,54.5273:27.4721,52.6146",https://www.gem.wiki/Siri%E2%80%93Asaluyeh_Gas_Pipeline,operating
Siri–Mobarak Gas Pipeline,,gas_pipeline,,Iran Ministry of Petroleum [100.00%],Iran,operating,,,,,line,nan,nan,"25.9143,54.5273:25.843336,57.347288",https://www.gem.wiki/Siri%E2%80%93Mobarak_Gas_Pipeline,operating
Sishui-Yishui Gas Pipeline,Sishui-Xintai-Xinanyu Segment,gas_pipeline,,国家石油天然气管网集团有限公司 [100.00%],China,proposed,2024,,,,line,nan,nan,"35.66709365624738,117.24874626295869:35.68090452891409,117.59632576645353:36.20394315432179,117.66433045191994:36.16735172569212,117.43198110990978",https://www.gem.wiki/Sishui-Yishui_Gas_Pipeline,proposed_plus
Sishui-Yishui Gas Pipeline,Yiyuan-Buoshan-Zibo Branch,gas_pipeline,,国家石油天然气管网集团有限公司 [100.00%],China,proposed,,,,,line,nan,nan,"36.06960997458837,118.4366634853842:36.3589954560735,118.08942554886359:36.348090129348336,117.95552320664574:36.45970622035639,117.91229041768196:36.477376265493014,117.86491187615462:36.495594278853126,117.86353858524926:36.55580815897967,117.8812708851821:36.64235366534436,117.96728228234505:36.741669019084,118.0395318559619",https://www.gem.wiki/Sishui-Yishui_Gas_Pipeline,proposed_plus
Sishui-Yishui Gas Pipeline,Laiwu-Yuyuan Segment,gas_pipeline,,国家石油天然气管网集团有限公司 [100.00%],China,proposed,2023,7,,bcm/y,line,nan,nan,"36.205833112913325,117.6542047175903:36.06093444653604,117.80801328035767:36.078694948041544,118.43148735140275",https://www.gem.wiki/Sishui-Yishui_Gas_Pipeline,proposed_plus
Sishui-Yishui Gas Pipeline,Yishui-Yiyuan Branch,gas_pipeline,,国家石油天然气管网集团有限公司 [100.00%],China,proposed,2024,,,,line,nan,nan,"35.789966787967465,118.62865261935409:36.0751851729152,118.43295866533664",https://www.gem.wiki/Sishui-Yishui_Gas_Pipeline,proposed_plus
Sodegaura-Rinkai Gas Pipeline,,gas_pipeline,,K&O Energy Group [100.00%],Japan,operating,2006,,,,line,nan,nan,"35.415919,140.015335:35.49871,140.114989",https://www.gem.wiki/Sodegaura-Rinkai_Gas_Pipeline,operating
Soma-Iwamuna Gas Pipeline,,gas_pipeline,,JAPEX [100.00%],Japan,operating,2017,,,,line,nan,nan,"37.867573,140.903109:38.112626,140.871682",https://www.gem.wiki/Soma-Iwamuna_Gas_Pipeline,operating
Somiani–Nawabshah Gas Pipeline,,gas_pipeline,,Interstate Gas Systems [100.00%],Pakistan,shelved,,1200,,MMcf/d,line,nan,nan,"25.422749,66.596115:25.409771,66.671387:25.377326,67.062019:25.438322,67.112633:25.460384,67.168437:25.48634,67.195691:25.527869,67.220349:25.54474,67.268367:25.59146,67.277451:25.623905,67.311194:25.652456,67.329362:25.690092,67.341043:25.80293,67.319878:25.858735,67.303007:25.971642,67.290029:26.062487,67.293923:26.246772,68.389251",https://www.gem.wiki/Somiani%E2%80%93Nawabshah_Gas_Pipeline,shelved
Son My LNG Terminal to Son My Electricity Center Gas Pipeline,,gas_pipeline,,AES Corporation [unknown %]; PetroVietnam [unknown %],Vietnam,proposed,2026,11,,bcm/y,line,nan,nan,"10.65008,107.68464:10.75,107.667",https://www.gem.wiki/Son_My_LNG_Terminal_to_Son_My_Electricity_Center_Gas_Pipeline,proposed_plus
Son My–Phu My Gas Pipeline,,gas_pipeline,,Unknown [unknown %],Vietnam,proposed,2023,9,,bcm/y,line,nan,nan,"10.65008,107.68464:10.591111981602435,107.04759059998085",https://www.gem.wiki/Son_My%E2%80%93Phu_My_Gas_Pipeline,proposed_plus
Son My–Su Tu Trang Gas Pipeline,,gas_pipeline,,Unknown [unknown %],Vietnam,shelved,2025,4,,bcm/y,line,nan,nan,"10.65008,107.68464:10.13979772279954,108.32150044850869",https://www.gem.wiki/Son_My%E2%80%93Su_Tu_Trang_Gas_Pipeline,shelved
South Sumatra West Java Gas Pipeline,,gas_pipeline,,Perusahaan Gas Negara (PGN) [51.00%]; Pertamina [49.00%],Indonesia,operating,2008,440,,MMcf/d,line,nan,nan,"-4.455503,105.101669:-5.391467,105.777872:-5.993256,105.99407",https://www.gem.wiki/South_Sumatra_West_Java_Gas_Pipeline,operating
South Sumatra West Java Phase II Gas Pipeline,,gas_pipeline,,Perusahaan Gas Negara (PGN) [51.00%]; Pertamina [49.00%],Indonesia,operating,2008,530,,MMcf/d,line,nan,nan,"-2.3299948,103.8777104:-4.455503,105.101669:-5.391467,105.777872:-6.046937,106.98603:-6.283153,107.111278",https://www.gem.wiki/South_Sumatra_West_Java_Phase_II_Gas_Pipeline,operating
South West Ampa-Lumut Gas Pipeline,,gas_pipeline,,Shell [100.00%],Brunei,operating,1972,50,,MMcf/d,line,nan,nan,"4.768387,114.085773:4.659365,114.459305",https://www.gem.wiki/South_West_Ampa-Lumut_Gas_Pipeline,operating
South West LNG Terminal to Ca Mau Gas Pipeline,,gas_pipeline,,Unknown [unknown %],Vietnam,cancelled,2022,5,,bcm/y,line,nan,nan,"9.034755722655886,104.81710612002485:9.236883,105.0627469",https://www.gem.wiki/South_West_LNG_Terminal_to_Ca_Mau_Gas_Pipeline,cancelled
Srikail to A-B Pipeline,,gas_pipeline,,Petrobangla [100.00%],Bangladesh,operating,2013,250,,MMcf/d,line,nan,nan,"23.738702,90.99295:23.741944,90.966916",https://www.gem.wiki/Srikail_to_A_B_Pipeline,operating
Srikakulam-Angul Gas Pipeline,,gas_pipeline,,GAIL (India) Limited [100.00%],India,construction,,6.65,,MMSCMD,line,nan,nan,"18.2961746,83.8898012:18.3580577,83.9667045:18.4361627,84.0664386:18.4764168,84.1169064:18.5292878,84.155358:18.5779654,84.2101315:18.6324749,84.2564273:18.652636,84.2892823:18.685491,84.3310979:18.7153593,84.3542457:18.736267,84.3975547:18.787043,84.4117421:18.7930167,84.4431037:18.850513,84.4968666:18.8841148,84.5118007:18.9199567,84.5543629:18.9943201,84.5903112:19.0316043,84.5977681:19.0755167,84.5836829:19.1305407,84.5832035:19.2203179,84.5964493:19.230589,84.5690708:19.2453066,84.5604855:19.2931387,84.5641649:19.3740854,84.580109:19.4084264,84.5911471:19.4672967,84.6058647:19.4795613,84.6107706:19.5655555,84.6290056:19.5978684,84.6447478:19.6301814,84.6878317:19.6301814,84.6952885:19.7221489,84.7010883:19.7619187,84.7251159:19.7925746,84.7557717:19.8174307,84.7789707:19.8787424,84.851882:19.9185121,84.8974515:19.9591104,84.9272788:19.9864521,84.9421925:20.0154509,84.9678771:20.0195936,84.9786481:20.0198749,85.0433003:20.0457525,85.0814357:20.074354,85.0957365:20.0947837,85.1073133:20.1479008,85.1297859:20.1867172,85.1706453:20.3159825,85.2796283:20.3576591,85.3131329:20.3985184,85.3319282:20.471248,85.3687016:20.5464292,85.4389797:20.5660417,85.4520547:20.6420401,85.3785079:20.6935228,85.3164017:20.7213072,85.309047:20.7458228,85.3278423:20.7883165,85.3499063:20.7997571,85.3499063:20.8651321,85.2681877:20.8684008,85.1545987;19.4795345,84.610771:19.4388042,84.5671402:19.3965954,84.5225972:19.4190702,84.492767:19.4313292,84.4745829:19.4852688,84.4161483:19.4830332,84.3785637:19.467303,84.3259281:19.42344,84.2487897:19.4761117,84.167125:19.4813073,84.1302836:19.4742224,84.0688813:19.4723331,84.0362908:19.4423913,84.0154942:19.3843189,83.9723121:19.3183049,83.9142397:19.2890205,83.8750284:19.2607289,83.8313501:19.2349189,83.789657:19.2239993,83.7410152:19.2165541,83.7052783:19.2210212,83.6779793:19.2423641,83.6442278:19.2602325,83.6233813:19.3058963,83.6184179:19.3431097,83.5961757:19.4106393,83.5841169:19.4371688,83.5704502:19.4773651,83.5543717:19.5127377,83.5382932:19.541679,83.5278422:19.573836,83.5117637:19.6220715,83.5021166:19.7217581,83.4908616:19.7528652,83.4090965;19.2602322,83.6233813:19.2531636,83.5882243:19.2493293,83.5216025:19.2502879,83.4722352:19.2574773,83.45546:19.2550808,83.3749386:19.2287196,83.3332401:19.1678494,83.2455294:19.1631117,83.214331:19.1603541,83.1548461:19.1765057,83.1166339:19.1898996,83.0866945:19.1997481,83.0673914:19.2095966,83.037452:19.1784754,83.0251926:19.1290911,83.0136669:19.0988956,83.0045603:19.0461733,82.9949745:19.0078299,82.9834714:18.9752379,82.9710098:18.9608591,82.9700512:18.9258706,82.9595067:18.8400529,82.9183548",https://www.gem.wiki/Srikakulam-Angul_Gas_Pipeline,construction_plus
Sta. Rita Gas Pipeline,,gas_pipeline,,Shell [100.00%],Philippines,operating,,650,,MMcf/d,line,nan,nan,"13.714491,121.062623:13.777635,121.0334",https://www.gem.wiki/Sta._Rita_Gas_Pipeline,operating
Strait West Natural Gas Pipeline Network Phase II,Fuzhou-Ningde Gas Pipeline,gas_pipeline,,国家石油天然气管网集团有限公司(60.0002%)，福建省投资开发集团有限责任公司（39.9998%） [100.00%],China,operating,2016,10,,bcm/y,line,nan,nan,"26.121006,119.339698:25.966918,119.532313:26.003755,119.443794:26.205398,119.545329:26.497824,119.557627:27.094581,119.652686:26.891607,120.00625:27.331808,120.216552",https://www.gem.wiki/Strait_West_Natural_Gas_Pipeline_Network_Phase_II,operating
Strait West Natural Gas Pipeline Network Phase II,Longyan-Sanming-Nanping Gas Pipeline,gas_pipeline,,Snam [100.00%],China,operating,2016,,,,line,nan,nan,"25.083053,117.02172:26.268958,117.637472:27.391927,118.084478",https://www.gem.wiki/Strait_West_Natural_Gas_Pipeline_Network_Phase_II,operating
Strait West Natural Gas Pipeline Network Phase II,Luoyuan-Fuding Gas Pipeline,gas_pipeline,,"国家石油天然气管网集团有限公司(60.0002%) , 福建省投资开发集团有限责任公司(39.9998%) [100.00%]",China,construction,,0.49,,bcm/y,line,nan,nan,"26.495755,119.560214:27.32924,120.222589",https://www.gem.wiki/Strait_West_Natural_Gas_Pipeline_Network_Phase_II,construction_plus
Strait West Natural Gas Pipeline Network Phase II,Wuyi New Area Natural Gas Pipeline,gas_pipeline,,南平武夷发展集团有限公司（90%），福建省财政厅（10%） [100.00%],China,proposed,,,,,line,nan,nan,"25.06946,118.832019:27.37842,118.106164:27.337245,118.126088",https://www.gem.wiki/Strait_West_Natural_Gas_Pipeline_Network_Phase_II,proposed_plus
Strait West Natural Gas Pipeline Network Phase II,Fujian–Guangdong Branch (Fujian Segment),gas_pipeline,,国家石油天然气管网集团有限公司(60.0002%)，福建省投资开发集团有限责任公司（39.9998%） [100.00%],China,operating,2016,10,,bcm/y,line,nan,nan,"24.522349,117.655879:24.519536,117.361719:24.370208,117.325428",https://www.gem.wiki/Strait_West_Natural_Gas_Pipeline_Network_Phase_II,operating
Strait West Natural Gas Pipeline Network Phase II,Pingtan Branch,gas_pipeline,,国家石油天然气管网集团有限公司(60.0002%)，福建省投资开发集团有限责任公司（39.9998%） [100.00%],China,operating,2016,8.44,,bcm/y,line,nan,nan,"25.727125,119.388162:25.507571,119.792481",https://www.gem.wiki/Strait_West_Natural_Gas_Pipeline_Network_Phase_II,operating
Strait West Natural Gas Pipeline Network Phase II,Zhangzhou LNG Connecting Gas Pipeline,gas_pipeline,,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [60.00%]; Fujian Province Investment Development Group Co., Ltd. [40.00%]",China,construction,,4.2,,bcm/y,line,nan,nan,"24.269647,118.136784:24.262707,118.069856:24.323253,118.018641:24.241181,117.971445:24.325166,117.759254",https://www.gem.wiki/Strait_West_Natural_Gas_Pipeline_Network_Phase_II,construction_plus
Strait West Natural Gas Pipeline Network Phase II,Zhangzhou LNG Connecting Gas Pipeline Extension,gas_pipeline,,"国家石油天然气管网集团有限公司(60.0002%) , 福建省投资开发集团有限责任公司(39.9998%) [100.00%]",China,construction,,4.2,,bcm/y,line,nan,nan,"24.396086,117.597115:24.454781,117.816694:24.583903,117.520371",https://www.gem.wiki/Strait_West_Natural_Gas_Pipeline_Network_Phase_II,construction_plus
Strait West Natural Gas Pipeline Network Phase II,Fuzhou Connecting Gas Pipeline,gas_pipeline,,"国家石油天然气管网集团有限公司(60.0002%) , 福建省投资开发集团有限责任公司(39.9998%) [100.00%]",China,operating,2020,,,,line,nan,nan,"25.900936,119.385296:25.925502,119.379268:25.936019,119.393349",https://www.gem.wiki/Strait_West_Natural_Gas_Pipeline_Network_Phase_II,operating
Strait West Natural Gas Pipeline Network Phase II,West-East Gas Pipeline 3 East Section (Ji'an–Fuzhou),gas_pipeline,,"国家石油天然气管网集团有限公司(60.0002%) , 福建省投资开发集团有限责任公司(39.9998%) [100.00%]",China,operating,2016,15,,bcm/y,line,nan,nan,"27.106776,114.970112:24.504678,117.649381:26.088333,119.269629",https://www.gem.wiki/Strait_West_Natural_Gas_Pipeline_Network_Phase_II,operating
