project,unit,type,owner,parent,countries,status,start_year,capacity,production,capacity_production_unit,geom,lat,lng,route,url,status_legend
South Bangkok International Airport (SBIA) power station,1,gas_power_plant,District Cooling System and Power Plant Co Ltd; District Cooling System and Power Plant Co Ltd; District Cooling System and Power Plant Co Ltd,PTT PCL [35.0%],Thailand,operating,2006,55,,MW,point,13.694,100.73,,https://www.gem.wiki/South_Bangkok_International_Airport_(SBIA)_power_station,operating
South Bangkok power station,CC1,gas_power_plant,Electricity Generating Authority of Thailand,Electricity Generating Authority of Thailand,Thailand,retired,1994,300,,MW,point,13.617,100.56,,https://www.gem.wiki/South_Bangkok_power_station,retired
South Bangkok power station,CC2,gas_power_plant,Electricity Generating Authority of Thailand,Electricity Generating Authority of Thailand,Thailand,mothballed,1998,562,,MW,point,13.617,100.56,,https://www.gem.wiki/South_Bangkok_power_station,mothballed_plus
South Bangkok power station,CC3,gas_power_plant,Electricity Generating Authority of Thailand,Electricity Generating Authority of Thailand,Thailand,operating,2009,710,,MW,point,13.617,100.56,,https://www.gem.wiki/South_Bangkok_power_station,operating
South Bangkok power station,CC4,gas_power_plant,Electricity Generating Authority of Thailand,Electricity Generating Authority of Thailand,Thailand,operating,2020,1220,,MW,point,13.617,100.56,,https://www.gem.wiki/South_Bangkok_power_station,operating
South Bangkok power station,CC5,gas_power_plant,Electricity Generating Authority of Thailand,Electricity Generating Authority of Thailand,Thailand,announced,2026,700,,MW,point,13.617,100.56,,https://www.gem.wiki/South_Bangkok_power_station,proposed_plus
South Bangkok power station,CC6,gas_power_plant,Electricity Generating Authority of Thailand,Electricity Generating Authority of Thailand,Thailand,announced,2027,700,,MW,point,13.617,100.56,,https://www.gem.wiki/South_Bangkok_power_station,proposed_plus
South Bangkok power station,CC7,gas_power_plant,Electricity Generating Authority of Thailand,Electricity Generating Authority of Thailand,Thailand,announced,2027,700,,MW,point,13.617,100.56,,https://www.gem.wiki/South_Bangkok_power_station,proposed_plus
South Isfahan power station,1,gas_power_plant,South Isfahan Power Plant Co; South Isfahan Power Plant Co,IFIC Holding AG [80.0%],Iran,operating,2006,159,,MW,point,32.258,51.527,,https://www.gem.wiki/South_Isfahan_power_station,operating
South Isfahan power station,2,gas_power_plant,South Isfahan Power Plant Co; South Isfahan Power Plant Co,IFIC Holding AG [80.0%],Iran,operating,2006,159,,MW,point,32.258,51.527,,https://www.gem.wiki/South_Isfahan_power_station,operating
South Isfahan power station,3,gas_power_plant,South Isfahan Power Plant Co; South Isfahan Power Plant Co,IFIC Holding AG [80.0%],Iran,operating,2006,159,,MW,point,32.258,51.527,,https://www.gem.wiki/South_Isfahan_power_station,operating
South Isfahan power station,4,gas_power_plant,South Isfahan Power Plant Co; South Isfahan Power Plant Co,IFIC Holding AG [80.0%],Iran,operating,2006,159,,MW,point,32.258,51.527,,https://www.gem.wiki/South_Isfahan_power_station,operating
South Isfahan power station,5,gas_power_plant,South Isfahan Power Plant Co; South Isfahan Power Plant Co,IFIC Holding AG [80.0%],Iran,operating,2006,159,,MW,point,32.258,51.527,,https://www.gem.wiki/South_Isfahan_power_station,operating
South Isfahan power station,6,gas_power_plant,South Isfahan Power Plant Co; South Isfahan Power Plant Co,IFIC Holding AG [80.0%],Iran,operating,2007,159,,MW,point,32.258,51.527,,https://www.gem.wiki/South_Isfahan_power_station,operating
South Pars Central power station,2-1,gas_power_plant,Pars Oil and Gas Co,National Iranian Oil Co,Iran,shelved,,1000,,MW,point,27.486,52.659,,https://www.gem.wiki/South_Pars_Central_power_station,shelved
South Pars Central power station,CC1,gas_power_plant,Pars Oil and Gas Co,National Iranian Oil Co,Iran,operating,2008,474,,MW,point,27.486,52.659,,https://www.gem.wiki/South_Pars_Central_power_station,operating
South Pars Central power station,CC2,gas_power_plant,Pars Oil and Gas Co,National Iranian Oil Co,Iran,operating,2023,474,,MW,point,27.486,52.659,,https://www.gem.wiki/South_Pars_Central_power_station,operating
South Pars Central power station,GT5,gas_power_plant,Pars Oil and Gas Co,National Iranian Oil Co,Iran,operating,2009,157,,MW,point,27.486,52.659,,https://www.gem.wiki/South_Pars_Central_power_station,operating
South Pars Central power station,GT6,gas_power_plant,Pars Oil and Gas Co,National Iranian Oil Co,Iran,operating,2009,157,,MW,point,27.486,52.659,,https://www.gem.wiki/South_Pars_Central_power_station,operating
South Pars Central power station,ST3,gas_power_plant,Pars Oil and Gas Co,National Iranian Oil Co,Iran,construction,,160,,MW,point,27.486,52.659,,https://www.gem.wiki/South_Pars_Central_power_station,construction_plus
Southern Electric Power Project power plant,1:5,gas_power_plant,Southern Electric Power Project,Southern Electric Power Project,Pakistan,retired,1999,117,,MW,point,31.292,74.249,,https://www.gem.wiki/Southern_Electric_Power_Project_power_plant,retired
Southern Grid Hainan Qinglan Gas power station,1,gas_power_plant,Hainan Power Grid Co Ltd,China Southern Power Grid Co Ltd,China,operating,2005,50,,MW,point,19.569,110.76,,https://www.gem.wiki/Southern_Grid_Hainan_Qinglan_Gas_power_station,operating
Southern Grid Hainan Qinglan Gas power station,2,gas_power_plant,Hainan Power Grid Co Ltd,China Southern Power Grid Co Ltd,China,operating,2005,50,,MW,point,19.569,110.76,,https://www.gem.wiki/Southern_Grid_Hainan_Qinglan_Gas_power_station,operating
Southern Grid Hainan Qinglan Gas power station,3,gas_power_plant,Hainan Power Grid Co Ltd,China Southern Power Grid Co Ltd,China,operating,2005,50,,MW,point,19.569,110.76,,https://www.gem.wiki/Southern_Grid_Hainan_Qinglan_Gas_power_station,operating
Southern Grid Hainan Wenchang Gas power station,1-1,gas_power_plant,China Southern Power Grid Peak and Frequency Modulation Power Generation Co Ltd,China Southern Power Grid Energy Storage Co Ltd,China,operating,2020,460,,MW,point,19.789,110.72,,https://www.gem.wiki/Southern_Grid_Hainan_Wenchang_Gas_power_station,operating
Southern Grid Hainan Wenchang Gas power station,1-2,gas_power_plant,China Southern Power Grid Peak and Frequency Modulation Power Generation Co Ltd,China Southern Power Grid Energy Storage Co Ltd,China,operating,2020,460,,MW,point,19.789,110.72,,https://www.gem.wiki/Southern_Grid_Hainan_Wenchang_Gas_power_station,operating
Southern Grid Hainan Wenchang Gas power station,2-1,gas_power_plant,China Southern Power Grid Peak and Frequency Modulation Power Generation Co Ltd,China Southern Power Grid Energy Storage Co Ltd,China,announced,,460,,MW,point,19.789,110.72,,https://www.gem.wiki/Southern_Grid_Hainan_Wenchang_Gas_power_station,proposed_plus
Southern Grid Hainan Wenchang Gas power station,2-2,gas_power_plant,China Southern Power Grid Peak and Frequency Modulation Power Generation Co Ltd,China Southern Power Grid Energy Storage Co Ltd,China,announced,,460,,MW,point,19.789,110.72,,https://www.gem.wiki/Southern_Grid_Hainan_Wenchang_Gas_power_station,proposed_plus
Sreepur power station,1,gas_power_plant,B-R Powergen Ltd; B-R Powergen Ltd,Rural Power Co Ltd [50.0%],Bangladesh,construction,2023,163,,MW,point,24.23,90.528,,https://www.gem.wiki/Sreepur_power_station,construction_plus
Sriracha Thai Oil Company power station,1,gas_power_plant,TOP SPP Co Ltd,Thai Oil PCL,Thailand,operating,2016,119.5,,MW,point,13.167,100.91,,https://www.gem.wiki/Sriracha_Thai_Oil_Company_power_station,operating
Sriracha Thai Oil Company power station,2,gas_power_plant,TOP SPP Co Ltd,Thai Oil PCL,Thailand,operating,2016,119.5,,MW,point,13.167,100.91,,https://www.gem.wiki/Sriracha_Thai_Oil_Company_power_station,operating
Sriracha power station,1,gas_power_plant,Global Power Synergy PCL,Global Power Synergy PCL,Thailand,operating,2000,700,,MW,point,13.113,100.91,,https://www.gem.wiki/Sriracha_power_station,operating
Star Buck power station,1,gas_power_plant,Star Buck Power Corp,Taiwan Cogeneration Corp,Taiwan,operating,2009,490,,MW,point,24.129,120.42,,https://www.gem.wiki/Star_Buck_power_station,operating
State Grid Lasa Gas power station,1,gas_power_plant,Dongga Power Generation Company of State Grid Tibet Electric Power Co Ltd; Dongga Power Generation Company of State Grid Tibet Electric Power Co Ltd,State Grid Tibet Electric Power Co Ltd [49.0%],China,operating,2011,180,,MW,point,29.652,90.959,,https://www.gem.wiki/State_Grid_Lasa_Gas_power_station,operating
Stellar power station,1,gas_power_plant,Ingrid3 Power Corp,ACEN Corp,Philippines,shelved,,1250,,MW,point,13.743,121.06,,https://www.gem.wiki/Stellar_power_station,shelved
Subic diesel power station,1,gas_power_plant,One Subic Power Generation Corp,One Subic Power Generation Corp,Philippines,operating,2014,120,,MW,point,14.817,120.3,,https://www.gem.wiki/Subic_diesel_power_station,operating
Sugen Combined Cycle power plant,1,gas_power_plant,Torrent Power Ltd,Torrent Power Ltd,India,operating,2009,383,,MW,point,21.34,72.989,,https://www.gem.wiki/Sugen_Combined_Cycle_power_plant,operating
Sugen Combined Cycle power plant,2,gas_power_plant,Torrent Power Ltd,Torrent Power Ltd,India,operating,2009,383,,MW,point,21.34,72.989,,https://www.gem.wiki/Sugen_Combined_Cycle_power_plant,operating
Sugen Combined Cycle power plant,3,gas_power_plant,Torrent Power Ltd,Torrent Power Ltd,India,operating,2009,383,,MW,point,21.34,72.989,,https://www.gem.wiki/Sugen_Combined_Cycle_power_plant,operating
Sujiawumei LNG power station,1,gas_power_plant,,,Indonesia,announced,,800,,MW,point,-7.0352,106.55,,https://www.gem.wiki/Sujiawumei_LNG_power_station,proposed_plus
Sujiawumei LNG power station,2,gas_power_plant,,,Indonesia,announced,,800,,MW,point,-7.0352,106.55,,https://www.gem.wiki/Sujiawumei_LNG_power_station,proposed_plus
Sujiawumei LNG power station,3,gas_power_plant,,,Indonesia,announced,,800,,MW,point,-7.0352,106.55,,https://www.gem.wiki/Sujiawumei_LNG_power_station,proposed_plus
