project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,status
Guangdong Shanwei Haifeng power station,2-2,gas_power_plant,Guangdong Energy Group Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [76.00%]; China Huaneng Group [24.00%],China,announced,,460,,MW,point,23.058,115.4,,https://www.gem.wiki/Guangdong_Shanwei_Haifeng_power_station,proposed_plus
Guangdong Xinhui Daze Gas Thermal power station,1,gas_power_plant,Guodian Investment (Jiangmen Xinhui) Smart Energy Co Ltd,China Power International Ltd,China,pre-construction,2024,50,,MW,point,22.518,112.94,,https://www.gem.wiki/Guangdong_Xinhui_Daze_Gas_Thermal_power_station,pre-construction
Guangdong Xinhui Daze Gas Thermal power station,2,gas_power_plant,Guodian Investment (Jiangmen Xinhui) Smart Energy Co Ltd,China Power International Ltd,China,pre-construction,2024,50,,MW,point,22.518,112.94,,https://www.gem.wiki/Guangdong_Xinhui_Daze_Gas_Thermal_power_station,pre-construction
Guangdong Yangxi power station,1-1,gas_power_plant,Jingneng (Yangxi) Comprehensive Energy Co Ltd,Beijing Energy International Investment ; Beijing Energy International Investment Ltd,China,pre-construction,2025,100,,MW,point,21.8,111.58,,https://www.gem.wiki/Guangdong_Yangxi_power_station,pre-construction
Guangdong Yangxi power station,1-2,gas_power_plant,Jingneng (Yangxi) Comprehensive Energy Co Ltd,Beijing Energy International Investment ; Beijing Energy International Investment Ltd,China,pre-construction,2025,100,,MW,point,21.8,111.58,,https://www.gem.wiki/Guangdong_Yangxi_power_station,pre-construction
Guangdong Yudean Panyu Gas power station,1,gas_power_plant,Guangdong Yuedian Qiming Energy Co Ltd,Guangdong Electric Power Development Co Ltd,China,pre-construction,,600,,MW,point,23.007,113.26,,https://www.gem.wiki/Guangdong_Yudean_Panyu_Gas_power_station,pre-construction
Guangdong Yudean Panyu Gas power station,2,gas_power_plant,Guangdong Yuedian Qiming Energy Co Ltd,Guangdong Electric Power Development Co Ltd,China,pre-construction,,600,,MW,point,23.007,113.26,,https://www.gem.wiki/Guangdong_Yudean_Panyu_Gas_power_station,pre-construction
Guangdong Zhaoqing Dawang power station,2-1,gas_power_plant,Guoneng (Zhaoqing) Thermal Power Co Ltd,GD POWER Development Co Ltd [70.00%]; Shenzhen Zhide Investment Development Co Ltd [29.10%]; other [0.90%],China,construction,2024,500,,MW,point,23.301,112.86,,https://www.gem.wiki/Guangdong_Zhaoqing_Dawang_power_station,construction_plus
Guangdong Zhaoqing Dawang power station,2-2,gas_power_plant,Guoneng (Zhaoqing) Thermal Power Co Ltd,GD POWER Development Co Ltd [70.00%]; Shenzhen Zhide Investment Development Co Ltd [29.10%]; other [0.90%],China,construction,,500,,MW,point,23.301,112.86,,https://www.gem.wiki/Guangdong_Zhaoqing_Dawang_power_station,construction_plus
Guanghai Bay power station,1,gas_power_plant,Guangdong Yudean Xinhui Power Generation Co Ltd,Guangdong Electric Power Development Co Ltd [45.90%]; Guangdong Hengjian Investment Holding Co Ltd [33.50%]; China Huaneng Group [10.60%]; China Southern Power Grid Co Ltd [6.00%]; other [4.00%],China,pre-construction,2025,650,,MW,point,21.992,112.99,,https://www.gem.wiki/Guanghai_Bay_power_station,pre-construction
Guanghai Bay power station,2,gas_power_plant,Guangdong Yudean Xinhui Power Generation Co Ltd,Guangdong Electric Power Development Co Ltd [45.90%]; Guangdong Hengjian Investment Holding Co Ltd [33.50%]; China Huaneng Group [10.60%]; China Southern Power Grid Co Ltd [6.00%]; other [4.00%],China,pre-construction,2025,650,,MW,point,21.992,112.99,,https://www.gem.wiki/Guanghai_Bay_power_station,pre-construction
Guangxi CNOOC Beihai power station,1,gas_power_plant,CNOOC Power Investment Co Ltd,China National Offshore Oil Corp,China,announced,2025,530,,MW,point,21.512,109.5,,https://www.gem.wiki/Guangxi_CNOOC_Beihai_power_station,proposed_plus
Guangxi CNOOC Beihai power station,2,gas_power_plant,CNOOC Power Investment Co Ltd,China National Offshore Oil Corp,China,announced,2025,530,,MW,point,21.512,109.5,,https://www.gem.wiki/Guangxi_CNOOC_Beihai_power_station,proposed_plus
"Guangxi Chiji Iron and Steel Co., Ltd. Gas Power Project",1,gas_power_plant,Guangxi Chiji Iron and Steel Co Ltd,Qian'an City Jiujiang Wire Co Ltd,China,construction,,100,,MW,point,23.369,111.16,,"https://www.gem.wiki/Guangxi_Chiji_Iron_and_Steel_Co.,_Ltd._Gas_Power_Project",construction_plus
"Guangxi Chiji Iron and Steel Co., Ltd. Gas Power Project",2,gas_power_plant,Guangxi Chiji Iron and Steel Co Ltd,Qian'an City Jiujiang Wire Co Ltd,China,operating,2023,100,,MW,point,23.369,111.16,,"https://www.gem.wiki/Guangxi_Chiji_Iron_and_Steel_Co.,_Ltd._Gas_Power_Project",operating
"Guangxi Chiji Iron and Steel Co., Ltd. Gas Power Project",3,gas_power_plant,,,China,operating,2023,80,,MW,point,23.369,111.16,,"https://www.gem.wiki/Guangxi_Chiji_Iron_and_Steel_Co.,_Ltd._Gas_Power_Project",operating
"Guangxi Chiji Iron and Steel Co., Ltd. Gas Power Project",4,gas_power_plant,Guangxi Chiji Iron and Steel Co Ltd,Qian'an City Jiujiang Wire Co Ltd,China,construction,,80,,MW,point,23.369,111.16,,"https://www.gem.wiki/Guangxi_Chiji_Iron_and_Steel_Co.,_Ltd._Gas_Power_Project",construction_plus
Guangxi Fangchenggang Shenglong Metallurgical Gas Power Project,5,gas_power_plant,Guangxi Shenglong Metallurgical Co Ltd,Guangxi Shenglong Metallurgical Co Ltd,China,operating,2021,110,,MW,point,21.678,108.41,,https://www.gem.wiki/Guangxi_Fangchenggang_Shenglong_Metallurgical_Gas_Power_Project,operating
Guangxi Fangchenggang Shenglong Metallurgical Gas Power Project,6,gas_power_plant,Guangxi Shenglong Metallurgical Co Ltd,Guangxi Shenglong Metallurgical Co Ltd,China,operating,2021,110,,MW,point,21.678,108.41,,https://www.gem.wiki/Guangxi_Fangchenggang_Shenglong_Metallurgical_Gas_Power_Project,operating
Guangxi Fangchenggang Shenglong Metallurgical Gas Power Project,7,gas_power_plant,Guangxi Shenglong Metallurgical Co Ltd,Guangxi Shenglong Metallurgical Co Ltd,China,operating,2022,145,,MW,point,21.678,108.41,,https://www.gem.wiki/Guangxi_Fangchenggang_Shenglong_Metallurgical_Gas_Power_Project,operating
Guangxi Fangchenggang Shenglong Metallurgical Gas Power Project,8,gas_power_plant,Guangxi Shenglong Metallurgical Co Ltd,Guangxi Shenglong Metallurgical Co Ltd,China,operating,2022,145,,MW,point,21.678,108.41,,https://www.gem.wiki/Guangxi_Fangchenggang_Shenglong_Metallurgical_Gas_Power_Project,operating
Guangxi Fangchenggang Shenglong Metallurgical Gas Power Project,9,gas_power_plant,Guangxi Shenglong Metallurgical Co Ltd,Guangxi Shenglong Metallurgical Co Ltd,China,operating,2022,145,,MW,point,21.678,108.41,,https://www.gem.wiki/Guangxi_Fangchenggang_Shenglong_Metallurgical_Gas_Power_Project,operating
